Code,Item ,Group,Bags/Units Per Case,Price per case ($),Price per Unit ($),,Stores,,Date,Week,Month,Period,,Week,Days,,Store,Location
,,,,,,,,,2/22/2026,Week 08,02 Feb,Q1,,Week 53,Dec 30 - Dec 31,,,
,,,,,,,,,2/23/2026,Week 08,02 Feb,Q1,,,,,,
,,,,,,,,,2/24/2026,Week 08,02 Feb,Q1,,,,,,
,,,,,#DIV/0!,,,,2/25/2026,Week 08,02 Feb,Q1,,,,,,
,,,,,#DIV/0!,,,,2/26/2026,Week 09,02 Feb,Q1,,,,,,
,,,,,#DIV/0!,,,,2/27/2026,Week 09,02 Feb,Q1,,,,,,
,,,,,#DIV/0!,,,,2/28/2026,Week 09,02 Feb,Q1,,,,,,
,,,,,#DIV/0!,,,,3/1/2026,Week 09,02 Feb,Q1,,,,,,
,,,,,#REF!,,,,3/2/2026,Week 09,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,,,,,,,,,,
,,,,,#DIV/0!,,,,,,,,,,,,,
,,,,,#DIV/0!,,,,3/3/2026,Week 09,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/4/2026,Week 09,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/5/2026,Week 10,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/6/2026,Week 10,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/7/2026,Week 10,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/8/2026,Week 10,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/9/2026,Week 10,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/10/2026,Week 10,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/11/2026,Week 10,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/12/2026,Week 11,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/13/2026,Week 11,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/14/2026,Week 11,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/15/2026,Week 11,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/16/2026,Week 11,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/17/2026,Week 11,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/18/2026,Week 11,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/19/2026,Week 12,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/20/2026,Week 12,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/21/2026,Week 12,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/22/2026,Week 12,03 Mar,Q1,,,,,,
,,,,,#DIV/0!,,,,3/23/2026,Week 12,03 Mar,Q1,,,,,,
